source	term	p_value	adj_p	combined_score	odds_ratio	overlap	overlap_genes
g:Profiler	respiratory chain complex	1.7495192096134485e-05					
g:Profiler	oxidative phosphorylation	0.00016400056416194064					
g:Profiler	Oxidative phosphorylation	0.00019077901673278882					
g:Profiler	proton transmembrane transporter activity	0.00025605478100053635					
g:Profiler	proton transmembrane transport	0.000363191140733216					
g:Profiler	aerobic respiration	0.0004175865333328184					
g:Profiler	Diabetic cardiomyopathy	0.0006585331746415463					
g:Profiler	cellular respiration	0.0007530184933910186					
g:Profiler	Chemical carcinogenesis - reactive oxygen species	0.0008634939616625755					
g:Profiler	Thermogenesis	0.0009996041175237241					
